# AffiLabs Cycle Autosave
# Timestamp,2025-11-26T08:35:36.009755
# Cycle Start,0.000 s
# Cycle Stop,105.982 s
# Duration,105.982 s
# Filter Enabled,True
# Filter Strength,1
# Reference Subtraction,False

Time (s),Ch A Wavelength (nm),Ch A SPR (RU),Ch B Wavelength (nm),Ch B SPR (RU),Ch C Wavelength (nm),Ch C SPR (RU),Ch D Wavelength (nm),Ch D SPR (RU)
48.5129,594.1201,-3071.7693,599.9225,2184.7090,615.5881,-337.6140,670.5277,52705.0069
49.4476,602.7478,5555.9673,596.9989,-738.8356,616.6422,716.4933,669.6508,51828.1104
49.4476,596.0827,-1109.1573,596.9989,-738.8356,615.5881,-337.6140,670.5277,52705.0069
50.4298,602.7478,5555.9673,596.9989,-738.8356,616.6422,716.4933,669.6508,51828.1104
50.4298,596.0827,-1109.1573,596.3632,-1374.5725,607.7639,-8161.7770,671.7380,53915.2449
51.2965,602.7478,5555.9673,596.9989,-738.8356,616.6422,716.4933,669.6508,51828.1104
51.2965,595.4876,-1704.2975,596.9989,-738.8356,602.8934,-13032.3387,674.5085,56685.7980
52.2485,602.7478,5555.9673,596.9989,-738.8356,616.6422,716.4933,669.6508,51828.1104
52.2485,599.0973,1905.4076,597.0124,-725.4113,600.8978,-15027.8857,679.7661,61943.3781
53.2014,602.7478,5555.9673,596.9989,-738.8356,616.6422,716.4933,669.6508,51828.1104
53.2014,602.7478,5555.9673,596.9989,-738.8356,616.6422,716.4933,669.6508,51828.1104
54.0962,602.7478,5555.9673,596.9989,-738.8356,616.6422,716.4933,669.6508,51828.1104
54.0962,598.5360,1344.1545,602.1300,4392.2799,596.7386,-19187.0932,669.6508,51828.1104
54.9909,596.0235,-1168.3464,602.1300,4392.2799,596.7386,-19187.0932,670.3949,52572.1631
56.2876,595.5871,-1604.7573,604.2315,6493.7772,590.7726,-25153.1018,668.3694,50546.6398
56.2876,595.5871,-1604.7573,601.0561,3318.3577,598.0140,-17911.6832,670.3949,52572.1631
57.3135,595.5871,-1604.7573,604.2315,6493.7772,590.7726,-25153.1018,668.3694,50546.6398
57.3135,595.0060,-2185.9153,602.7341,4996.2933,602.8356,-13090.0632,671.8858,54063.0343
58.4191,595.5871,-1604.7573,604.2315,6493.7772,590.7726,-25153.1018,668.3694,50546.6398
58.4191,595.5871,-1604.7573,602.7341,4996.2933,606.1904,-9735.3355,671.0054,53182.6650
59.4147,595.5871,-1604.7573,604.2315,6493.7772,590.7726,-25153.1018,668.3694,50546.6398
59.4147,601.1061,3914.2448,596.1746,-1563.1365,605.1681,-10757.6379,669.8872,52064.5030
60.4238,595.5871,-1604.7573,604.2315,6493.7772,590.7726,-25153.1018,668.3694,50546.6398
60.4238,599.2671,2075.2048,601.5252,3787.4285,603.2610,-12664.7147,669.8872,52064.5030
61.5009,595.5871,-1604.7573,604.2315,6493.7772,590.7726,-25153.1018,668.3694,50546.6398
61.5009,595.5871,-1604.7573,601.9331,4195.3786,603.2610,-12664.7147,670.0563,52233.5709
62.3840,595.5871,-1604.7573,604.2315,6493.7772,590.7726,-25153.1018,668.3694,50546.6398
62.3840,595.3424,-1849.4849,601.9331,4195.3786,605.4363,-10489.3781,670.0563,52233.5709
63.3353,595.5871,-1604.7573,604.2315,6493.7772,590.7726,-25153.1018,668.3694,50546.6398
63.3353,592.3677,-4824.1726,601.7486,4010.8571,610.1662,-5759.4942,670.2997,52477.0141
64.2323,595.5871,-1604.7573,604.2315,6493.7772,590.7726,-25153.1018,668.3694,50546.6398
64.2323,593.6788,-3513.0256,602.4079,4670.1064,605.8052,-10120.4929,670.8216,52998.8317
65.3668,595.5871,-1604.7573,604.2315,6493.7772,590.7726,-25153.1018,668.3694,50546.6398
65.3668,595.5871,-1604.7573,604.2315,6493.7772,590.7726,-25153.1018,668.3694,50546.6398
66.3042,595.5871,-1604.7573,604.2315,6493.7772,590.7726,-25153.1018,668.3694,50546.6398
66.3042,594.9987,-2193.1951,599.8603,2122.5479,590.7726,-25153.1018,675.7753,57952.5953
67.4830,594.9987,-2193.1951,597.7701,32.3397,598.1480,-17777.7063,677.1437,59320.9327
68.5153,594.9987,-2193.1951,593.8558,-3881.9147,590.7350,-25190.7325,678.1110,60288.2436
68.5153,595.2483,-1943.5320,597.7701,32.3397,598.1480,-17777.7063,677.1437,59320.9327
69.3834,594.9987,-2193.1951,593.8558,-3881.9147,590.7350,-25190.7325,678.1110,60288.2436
69.3834,596.3860,-805.9037,600.2855,2547.7667,604.1674,-11758.2964,672.9136,55090.8542
70.2800,594.9987,-2193.1951,593.8558,-3881.9147,590.7350,-25190.7325,678.1110,60288.2436
70.2800,596.3051,-886.7334,599.8362,2098.4505,609.3273,-6598.4119,672.6306,54807.8870
71.1806,594.9987,-2193.1951,593.8558,-3881.9147,590.7350,-25190.7325,678.1110,60288.2436
71.1806,596.3051,-886.7334,599.8362,2098.4505,612.4207,-3505.0186,672.6306,54807.8870
72.0713,594.9987,-2193.1951,593.8558,-3881.9147,590.7350,-25190.7325,678.1110,60288.2436
72.0713,596.6304,-561.4609,600.9314,3193.6221,613.7245,-2201.1847,671.6340,53811.3236
72.9665,594.9987,-2193.1951,593.8558,-3881.9147,590.7350,-25190.7325,678.1110,60288.2436
72.9665,596.6304,-561.4609,603.9622,6224.4447,614.6413,-1284.4500,677.0889,59266.1614
73.8636,594.9987,-2193.1951,593.8558,-3881.9147,590.7350,-25190.7325,678.1110,60288.2436
73.8636,597.6681,476.2438,603.1552,5417.4280,612.8741,-3051.6578,677.0889,59266.1614
74.8142,594.9987,-2193.1951,593.8558,-3881.9147,590.7350,-25190.7325,678.1110,60288.2436
74.8142,598.6651,1473.2776,603.1552,5417.4280,607.8615,-8064.1832,676.9456,59122.8576
75.7107,594.9987,-2193.1951,593.8558,-3881.9147,590.7350,-25190.7325,678.1110,60288.2436
75.7107,596.2658,-926.0254,602.7075,4969.6922,607.8615,-8064.1832,673.6336,55810.9201
76.9148,594.9987,-2193.1951,593.8558,-3881.9147,590.7350,-25190.7325,678.1110,60288.2436
76.9148,594.9987,-2193.1951,593.8558,-3881.9147,590.7350,-25190.7325,678.1110,60288.2436
77.7836,594.9987,-2193.1951,593.8558,-3881.9147,590.7350,-25190.7325,678.1110,60288.2436
77.7836,595.9616,-1230.3024,594.2888,-3448.9189,613.3125,-2613.2351,670.3770,52554.2706
78.7337,595.9616,-1230.3024,599.5097,1771.9145,614.0180,-1907.7276,668.8147,50992.0257
79.7572,597.3674,175.5438,594.2888,-3448.9189,613.3125,-2613.2351,670.3770,52554.2706
79.7572,597.3674,175.5438,604.6520,6914.1974,613.3125,-2613.2351,668.7174,50894.6777
80.6443,597.3674,175.5438,594.2888,-3448.9189,613.3125,-2613.2351,670.3770,52554.2706
80.6443,598.7386,1546.7473,611.5990,13861.2471,606.1209,-9804.7643,668.4591,50636.4039
81.4244,597.3674,175.5438,594.2888,-3448.9189,613.3125,-2613.2351,670.3770,52554.2706
81.4244,597.3674,175.5438,604.5804,6842.5927,605.4847,-10441.0590,668.4591,50636.4039
82.2641,597.3674,175.5438,594.2888,-3448.9189,613.3125,-2613.2351,670.3770,52554.2706
82.2641,596.9884,-203.5144,596.2745,-1463.2212,613.3125,-2613.2351,670.0994,52276.6808
83.0480,597.3674,175.5438,594.2888,-3448.9189,613.3125,-2613.2351,670.3770,52554.2706
83.0480,595.0495,-2142.4087,595.1942,-2543.6101,614.4680,-1457.6760,670.3770,52554.2706
83.8309,597.3674,175.5438,594.2888,-3448.9189,613.3125,-2613.2351,670.3770,52554.2706
83.8309,597.3674,175.5438,595.1942,-2543.6101,613.3125,-2613.2351,670.7321,52909.3409
84.6149,597.3674,175.5438,594.2888,-3448.9189,613.3125,-2613.2351,670.3770,52554.2706
84.6149,599.8560,2664.0835,596.3459,-1391.9028,612.1937,-3732.0067,670.3770,52554.2706
85.4557,597.3674,175.5438,594.2888,-3448.9189,613.3125,-2613.2351,670.3770,52554.2706
85.4557,599.7776,2585.7447,599.6547,1916.9744,609.7406,-6185.0765,669.9071,52084.3888
86.2383,597.3674,175.5438,594.2888,-3448.9189,613.3125,-2613.2351,670.3770,52554.2706
86.2383,597.9816,789.7674,602.0063,4268.5024,610.0384,-5887.3385,669.8898,52067.1105
87.0226,597.3674,175.5438,594.2888,-3448.9189,613.3125,-2613.2351,670.3770,52554.2706
87.0226,597.3674,175.5438,594.2888,-3448.9189,613.3125,-2613.2351,670.3770,52554.2706
87.8071,597.3674,175.5438,594.2888,-3448.9189,613.3125,-2613.2351,670.3770,52554.2706
87.8071,597.4619,270.0797,594.2888,-3448.9189,609.8098,-6115.8902,671.3157,53492.9539
88.6462,597.4619,270.0797,598.2636,525.8175,609.8098,-6115.8902,678.3108,60488.1247
89.6098,597.6556,463.6852,590.6737,-7064.0898,609.0497,-6876.0524,678.3108,60488.1247
89.6098,595.9800,-1211.8435,597.9002,162.4267,613.1504,-2775.3154,682.6759,64853.1464
90.4958,597.6556,463.6852,590.6737,-7064.0898,609.0497,-6876.0524,678.3108,60488.1247
90.4958,594.2959,-2895.9270,597.8491,111.3396,613.8874,-2038.3573,689.9554,72132.6704
91.3509,597.6556,463.6852,590.6737,-7064.0898,609.0497,-6876.0524,678.3108,60488.1247
91.3509,597.6556,463.6852,596.3997,-1338.0328,610.3355,-5590.2269,688.4077,70584.9889
92.1749,597.6556,463.6852,590.6737,-7064.0898,609.0497,-6876.0524,678.3108,60488.1247
92.1749,598.4669,1275.0651,596.3997,-1338.0328,610.2617,-5664.0378,683.3758,65553.1093
93.0720,597.6556,463.6852,590.6737,-7064.0898,609.0497,-6876.0524,678.3108,60488.1247
93.0720,600.6289,3437.0477,597.5723,-165.4694,610.2617,-5664.0378,680.0980,62275.2722
93.9106,597.6556,463.6852,590.6737,-7064.0898,609.0497,-6876.0524,678.3108,60488.1247
93.9106,601.3818,4189.9361,593.9808,-3757.0010,609.0497,-6876.0524,680.0980,62275.2722
94.8079,597.6556,463.6852,590.6737,-7064.0898,609.0497,-6876.0524,678.3108,60488.1247
94.8079,601.0015,3809.6040,593.9808,-3757.0010,609.0497,-6876.0524,684.5051,66682.3599
95.6456,597.6556,463.6852,590.6737,-7064.0898,609.0497,-6876.0524,678.3108,60488.1247
95.6456,599.9890,2797.0947,601.3823,3644.5748,611.7217,-4203.9682,688.0876,70264.8901
96.4299,597.6556,463.6852,590.6737,-7064.0898,609.0497,-6876.0524,678.3108,60488.1247
96.4299,598.5851,1393.2671,606.5128,8774.9926,619.7833,3857.6117,690.5209,72698.1304
97.1577,597.6556,463.6852,590.6737,-7064.0898,609.0497,-6876.0524,678.3108,60488.1247
97.1577,597.6556,463.6852,590.6737,-7064.0898,609.0497,-6876.0524,678.3108,60488.1247
97.9977,597.6556,463.6852,590.6737,-7064.0898,609.0497,-6876.0524,678.3108,60488.1247
97.9977,598.6125,1420.6703,601.7340,3996.2294,609.0497,-6876.0524,692.1956,74372.8633
98.8381,598.6125,1420.6703,601.7340,3996.2294,605.7934,-10132.2728,692.1956,74372.8633
99.9057,599.7291,2537.2317,601.7340,3996.2294,605.7934,-10132.2728,693.5513,75728.6039
99.9057,599.7291,2537.2317,601.3498,3612.0281,603.6194,-12306.3478,681.3987,63575.9994
100.6487,599.7291,2537.2317,601.7340,3996.2294,605.7934,-10132.2728,693.5513,75728.6039
100.6487,599.9359,2744.0658,601.7340,3996.2294,605.7934,-10132.2728,681.3987,63575.9994
101.4136,599.7291,2537.2317,601.7340,3996.2294,605.7934,-10132.2728,693.5513,75728.6039
101.4136,601.2324,4040.5776,601.7340,3996.2294,606.4152,-9510.4798,679.7339,61911.1552
102.3098,599.7291,2537.2317,601.7340,3996.2294,605.7934,-10132.2728,693.5513,75728.6039
102.3098,601.1635,3971.6166,601.7340,3996.2294,609.0884,-6837.3577,673.4478,55625.1064
103.0935,599.7291,2537.2317,601.7340,3996.2294,605.7934,-10132.2728,693.5513,75728.6039
103.0935,599.7291,2537.2317,603.7965,6058.7842,612.3481,-3577.6079,673.5357,55713.0154
103.8223,599.7291,2537.2317,601.7340,3996.2294,605.7934,-10132.2728,693.5513,75728.6039
103.8223,597.5678,375.9218,603.6302,5892.4093,613.2518,-2673.8927,673.5728,55750.0884
104.6216,599.7291,2537.2317,601.7340,3996.2294,605.7934,-10132.2728,693.5513,75728.6039
104.6216,596.1083,-1083.5870,601.7340,3996.2294,609.5374,-6388.3180,673.5728,55750.0884
105.3897,599.7291,2537.2317,601.7340,3996.2294,605.7934,-10132.2728,693.5513,75728.6039
105.3897,599.7291,2537.2317,601.7340,3996.2294,605.7934,-10132.2728,693.5513,75728.6039
