channel_a,timestamp_a,channel_b,timestamp_b,channel_c,timestamp_c,channel_d,timestamp_d
646.4804835477584,1764225431.2620296,642.7315322971399,1764225431.640223,643.123542037629,1764225431.9792535,654.5378558562455,1764225432.3384063
646.4926598932244,1764225432.7203877,642.7245417485788,1764225433.059645,643.0875041113011,1764225433.439823,654.5260410371741,1764225433.8247502
646.5061388773082,1764225434.2331867,642.7282154897708,1764225434.636117,643.0926140401056,1764225434.994279,654.5682692557004,1764225435.356553
646.4579603634396,1764225435.758139,642.7447561094508,1764225436.1187131,643.0979300778192,1764225436.529342,654.5973175683215,1764225436.884228
646.4734185581292,1764225437.2446704,642.7507775479095,1764225437.6473813,643.128085963013,1764225438.0171487,654.5327207993892,1764225438.3875303
646.4783422237833,1764225438.818261,642.7617686542808,1764225439.1834006,643.1319567745206,1764225439.607836,654.5642487046092,1764225439.9892654
646.487997416266,1764225440.349088,642.7511220534589,1764225440.827877,643.1329192056436,1764225441.2037838,654.563316852222,1764225441.6472538
646.4745236187943,1764225442.0144215,642.7813926558532,1764225442.4608688,643.1257743466301,1764225442.9671967,654.5676407750714,1764225443.3847542
646.4995157029846,1764225443.8298123,642.7261243893707,1764225444.17624,643.1171275792042,1764225444.6144564,654.5215483225334,1764225444.9845104
646.4987418617678,1764225445.3446052,642.7401491848908,1764225445.764193,643.1095209288331,1764225446.1540625,654.5768714260802,1764225446.6210508
646.475249403137,1764225446.963977,642.7375671206622,1764225447.323838,643.1432023432584,1764225447.6939344,654.5581704141671,1764225448.0433073
646.5112888273248,1764225448.4240885,642.728703617432,1764225448.8547847,643.1090853863441,1764225449.2139275,654.5644450935088,1764225449.6229482
646.514561835089,1764225450.0233314,642.736651859276,1764225450.404693,643.1168423024211,1764225450.7888496,654.5748896645059,1764225451.15797
646.5184006108072,1764225451.5893445,642.7432220809605,1764225451.9594646,643.1279866334644,1764225452.3191674,654.5627209857538,1764225452.707374
646.4995648485032,1764225453.195107,642.7474120413201,1764225453.5914328,643.1360131382397,1764225453.9384537,654.5664758522108,1764225454.2988794
646.4873110232218,1764225454.6990762,642.7462893140614,1764225455.0629292,643.1132813841083,1764225455.4610286,654.5514848276359,1764225455.8736846
646.4781853423897,1764225456.2337716,642.7392934954337,1764225456.6297238,643.1032285683893,1764225456.9540617,654.5837351177221,1764225457.313923
646.510359820887,1764225457.7375486,642.7215497514018,1764225458.1237764,643.1060721436752,1764225458.5224876,654.5428315584804,1764225458.891138
