# AffiLabs Cycle Autosave
# Timestamp,2025-11-27T01:43:45.214613
# Cycle Start,3.524 s
# Cycle Stop,544.774 s
# Duration,541.250 s
# Filter Enabled,False
# Reference Subtraction,False

Time (s),Ch A Wavelength (nm),Ch A SPR (RU),Ch B Wavelength (nm),Ch B SPR (RU),Ch C Wavelength (nm),Ch C SPR (RU),Ch D Wavelength (nm),Ch D SPR (RU)
201.5772,646.4810,25.9974,642.7468,6.4672,643.1177,-3.9685,654.5495,7.2206
203.4008,646.4940,38.9463,642.7242,-16.0577,643.1184,-3.3182,654.5590,16.6316
204.8822,646.4770,21.9286,642.7399,-0.3677,643.1012,-20.5194,654.5596,17.2534
206.3668,646.5002,45.1670,642.7359,-4.3919,643.1159,-5.7476,654.5320,-10.3579
207.8525,646.4718,16.7081,642.7302,-10.0842,643.1101,-11.5853,654.5751,32.7550
209.2497,646.4780,22.9664,642.7372,-3.1025,643.1370,15.2836,654.4600,-82.3308
211.0188,646.5105,55.4858,642.7330,-7.2607,643.1381,16.4529,654.5483,5.9777
212.8501,646.4719,16.8407,642.7464,6.1070,643.1054,-16.2980,654.4404,-101.9151
215.4581,646.4992,44.1140,642.7140,-26.2670,643.1247,2.9665,654.4361,-106.2297
216.9416,646.4865,31.4956,642.7396,-0.6891,643.1007,-20.9661,654.5345,-7.8696
218.4725,646.5282,73.1409,642.7376,-2.6757,643.1022,-19.4407,654.5514,9.0371
219.9120,646.4911,36.0732,642.7280,-12.3174,643.1160,-5.6419,654.4758,-66.5235
221.5320,646.4983,43.2083,642.7356,-4.7066,643.1297,7.9764,654.5147,-27.6255
223.0313,646.5078,52.7876,642.7218,-18.4924,643.0970,-24.6618,654.5319,-10.4134
224.5996,646.4966,41.5701,642.7398,-0.4646,643.1127,-8.9949,654.5536,11.3130
226.0458,646.4963,41.2130,642.7289,-11.4270,643.1238,2.0689,654.5409,-1.4252
227.4734,646.4713,16.2761,642.7293,-10.9484,643.0730,-48.7312,654.5539,11.6211
228.9559,646.4977,42.7029,642.7293,-10.9883,643.0934,-28.2509,654.5617,19.3404
231.1711,646.5739,118.8535,642.7538,13.5055,643.1091,-12.5927,654.5768,34.4567
232.6917,646.5271,72.0741,642.7481,7.8270,643.1412,19.5198,654.5495,7.1852
234.3208,646.5165,61.4941,642.7476,7.2967,643.1061,-15.6131,654.5646,22.2322
235.7974,646.4686,13.5462,642.7402,-0.1217,643.1108,-10.8661,654.4981,-44.2188
237.2821,646.4870,31.9505,642.7369,-3.3783,643.1080,-13.7149,654.5504,8.0554
239.0938,646.4691,14.0426,642.7255,-14.7548,643.1465,24.8465,654.5545,12.1536
240.5673,646.4830,27.9745,642.7458,5.5223,643.1050,-16.6660,654.5603,18.0253
241.9615,646.4939,38.8812,642.7206,-19.6831,643.0877,-33.9471,654.5674,25.0971
243.4506,646.4764,21.3758,642.7539,13.6318,643.1206,-1.0977,654.5937,51.4231
245.0221,646.4817,26.6945,642.7409,0.5645,643.1079,-13.8393,654.5748,32.5032
246.6435,646.4903,35.2284,642.7269,-13.3824,643.1250,3.2624,654.5665,24.1730
248.2850,646.4920,36.9959,642.7348,-5.4403,643.1332,11.5248,654.5265,-15.7984
249.7481,646.4738,18.7496,642.7280,-12.2490,643.1016,-20.0920,654.5749,32.6007
251.3189,646.5150,59.9866,642.7469,6.6220,643.1307,9.0158,654.5484,6.0403
252.9431,646.4830,27.9484,642.7388,-1.4830,643.1029,-18.7958,654.5520,9.6686
254.3812,646.4715,16.4789,642.7351,-5.1878,643.1228,1.1561,654.5615,19.2066
255.8670,646.4835,28.4543,642.7482,7.9164,643.1275,5.8493,654.5529,10.6214
257.3074,646.4770,21.9731,642.7504,10.1322,643.1110,-10.6576,654.5441,1.7628
258.7910,646.4984,43.3194,642.7180,-22.2506,643.1075,-14.2185,654.5768,34.5170
260.2775,646.4888,33.7055,642.7417,1.3726,643.1090,-12.6585,654.5461,3.7782
261.7164,646.4868,31.7938,642.7413,0.9652,643.0983,-23.3536,654.5654,23.0591
263.2268,646.4856,30.5676,642.7244,-15.8659,643.0992,-22.4694,654.5363,-6.0230
264.6867,646.5043,49.2993,642.7470,6.6906,643.1259,4.1756,654.5413,-1.0655
266.1465,646.4743,19.2434,642.7436,3.3343,643.1009,-20.7787,654.5442,1.9293
267.7468,646.4930,37.9522,642.7184,-21.8850,643.1057,-15.9457,654.5597,17.3324
269.3552,646.4699,14.8252,642.7275,-12.7751,643.1123,-9.3559,654.5659,23.5467
272.1241,646.4717,16.6485,642.7338,-6.5383,643.1170,-4.7047,654.5806,38.2630
273.6885,646.4944,39.3348,642.7222,-18.0419,643.1111,-10.5954,654.5459,3.5331
275.2123,646.5164,61.3935,642.7347,-5.5693,643.1064,-15.2541,654.5749,32.6058
276.7018,646.5057,50.6165,642.7468,6.4996,643.1354,13.7014,654.5815,39.1537
278.1473,646.4962,41.1119,642.7460,5.6664,643.1215,-0.1673,654.5625,20.1965
279.7160,646.5097,54.6387,642.7417,1.3687,643.0691,-52.6363,654.5344,-7.8819
281.2200,646.4853,30.2079,642.7328,-7.4534,643.1118,-9.8603,654.5483,5.9773
283.3529,646.4797,24.6665,642.7297,-10.5734,643.1347,12.9756,654.5432,0.8840
286.0667,646.4966,41.5201,642.7275,-12.8015,643.1231,1.4339,654.5457,3.4061
288.8247,646.5103,55.2996,642.7369,-3.4172,643.1175,-4.1821,654.5030,-39.3581
291.2157,646.4524,-2.6032,642.7388,-1.5320,643.1207,-0.9658,654.4607,-81.6392
292.9026,646.4777,22.6756,642.7214,-18.8894,643.1173,-4.4090,654.5618,19.4699
294.5473,646.4805,25.4394,642.7250,-15.2788,643.1063,-15.3884,654.5895,47.1733
296.0969,646.5159,60.8584,642.7261,-14.2072,643.1076,-14.0837,654.5649,22.5487
297.6718,646.4711,16.0177,642.7303,-10.0053,643.1108,-10.8794,654.5461,3.7796
299.2433,646.4914,36.3963,642.7252,-15.0397,643.1306,8.9241,654.5590,16.6954
300.9117,646.4972,42.1532,642.7363,-4.0156,643.1074,-14.2408,654.5521,9.8238
302.4623,646.4941,39.0216,642.7242,-16.0652,643.1042,-17.5173,654.5196,-22.7554
