name,points,p2p_pm,std_pm
Direct+B4+SG7+Exp0.1,45,19.357646896992264,5.88590059348153
Adaptive+B5+SG5+Exp0.2,36,19.385018632306128,5.437262864210984
Adaptive+B5+SG7+Exp0.1,36,19.409829669598366,5.704364567714154
Fourier+B5+SG5+Exp0.2,36,19.410104246389892,5.239152163386753
Direct+B5+SG11+Exp0.1,36,19.507328383156164,5.723942263960551
Fourier+B4+SG5+Exp0.2,45,19.55199822305076,5.176507609062396
Fourier+B4+SG7+Exp0.2,45,19.556476554953406,5.450622091617804
Adaptive+B4+SG9+Exp0.2,45,19.586463041491697,4.997765999457752
Fourier+B2+SG11+Exp0.1,91,19.58700733848673,5.453569097993076
Fourier+B2+SG11+Exp0.1,91,19.58700733848673,5.453569097993076
Adaptive+B5+SG11+Exp0.1,36,19.60749356794622,5.912675202900682
Fourier+B3_median+SG11,60,19.67245081425517,4.720094333437645
Adaptive+B5+SG11+Exp0.3,36,19.67485665204549,4.680433445292215
Adaptive+B5+SG3+Exp0.2,36,19.684985466255966,5.333488592281897
Adaptive+B3+SG9+Exp0.1,60,19.696869186418553,5.611194376863186
Adaptive+B3+SG5+Exp0.1,60,19.774877680333702,5.608463466183066
Direct+B5+SG9+Exp0.3,36,19.793320197891262,5.913408085873124
Fourier+B4+SG11+Exp0.1,45,19.794642559759268,5.551884312038238
Fourier+B3+SG9+Exp0.1,60,19.81164989069839,5.865724843968245
Adaptive+B4+SG3+Exp0.2,45,19.90339260555629,4.501948180824051
Fourier+B2+SG3+Exp0.1,91,19.91239210974527,4.671185087120194
Fourier+B2+SG3+Exp0.1,91,19.91239210974527,4.671185087120194
Adaptive+B5+SG9+Exp0.1,36,19.959725392823202,5.8571755957561935
Adaptive+B5+SG9+Exp0.1,36,19.98626089539357,6.000129988400146
Adaptive+B4+SG11+Exp0.2,45,20.018104248947566,5.093477328737467
Adaptive+B4+SG5+Exp0.2,45,20.051608611083793,5.045353906867019
Fourier+B5+SG7+Exp0.2,36,20.06642911032941,5.598925314676894
Fourier+B4+SG11+Exp0.3,45,20.070336888920792,4.6497719407931655
Fourier+B5+SG5+Exp0.3,36,20.107379320279506,5.191459208552538
Direct+B4+SG11+Exp0.1,45,20.136128798071695,5.957531277931153
Fourier+B5+SG11+Exp0.2,36,20.1439966236876,5.612674056486909
Fourier+B3+SG5+Exp0.3,60,20.17030701256317,4.376873490021664
Adaptive+B4+SG3+Exp0.2,45,20.179690040208698,4.863435764071605
Adaptive+B4+SG7+Exp0.3,45,20.31094606741135,5.123123553927222
Fourier+B4+SG9+Exp0.3,45,20.38345898085936,4.60021647428364
Adaptive+B5+SG9+Exp0.3,36,20.457479757055808,4.826678560804994
Adaptive+B4+SG11+Exp0.1,45,20.46082725848919,5.645656361193977
Adaptive+B4+SG7+Exp0.2,45,20.49676630645081,5.255899327734189
Adaptive+B3+SG5+Exp0.2,60,20.5338944685991,5.393320291445554
Adaptive+B5+SG5+Exp0.3,36,20.534141522830396,5.757768788304909
Direct+B5+SG11+Exp0.3,36,20.568650538507427,5.788981103725548
Fourier+B4+SG11+Exp0.1,45,20.57085923536306,6.1339832408967325
Direct+B5+SG7+Exp0.3,36,20.63043188843494,6.085514077858541
Fourier+B5_weighted+SG7,36,20.634045463225448,4.785416969672231
Adaptive+B2+SG7+Exp0.1,91,20.670561544420707,5.030383434775735
Direct+B2+SG7+Exp0.1,91,20.673884680149968,6.098959754513287
Fourier+B4+SG7+Exp0.3,45,20.701838648506055,5.098272537668493
Fourier+B5+SG11+Exp0.2,36,20.70329080720512,5.836291139859673
Direct+B5+SG3+Exp0.2,36,20.7428160690597,6.20784176488693
Fourier+B3+SG3+Exp0.2,60,20.74973999822305,4.255818572591162
Fourier+B5+SG9+Exp0.2,36,20.811198782780593,5.744695956578593
Adaptive+B4+SG5+Exp0.2,45,20.84014676552215,5.6473383050976
Fourier+B4+SG5+Exp0.3,45,20.866439860810715,4.387666380525751
Direct+B4+SG11+Exp0.1,45,20.892902090281495,6.203951236673855
Direct+B4+SG3+Exp0.2,45,21.02346265826327,6.398644039726779
Direct+B4+SG9+Exp0.1,45,21.03176423236164,6.031296536472137
Adaptive+B4+SG11+Exp0.3,45,21.067546411018157,5.057579146301728
Fourier+B5+SG7+Exp0.3,36,21.073974484465907,5.517339423480092
Adaptive+B5+SG7+Exp0.2,36,21.10165465614955,5.921680708223019
Fourier+B3_median+SG9,60,21.169537411424244,5.101206482388524
